"plant_id","type"
"1277","AMDO","Forb/herb"
"1278","AMEA2","Forb/herb"
"1279","AMGR3","Forb/herb"
"1280","AMLU","Forb/herb"
"1281","AMLY","Forb/herb"
"1282","AMME","Forb/herb"
"1283","AMMEI2","Forb/herb"
"1284","AMMEM2","Forb/herb"
"1285","AMSP3","Forb/herb"
"1286","AMTE3","Forb/herb"
"1287","AMTEG","Forb/herb"
"1288","AMTET","Forb/herb"
"1289","AMVE","Forb/herb"
"1290","AMVEF","Forb/herb"
"1291","AMVEV","Forb/herb"
"1293","AMCI","Forb/herb"
"1294","AMCIC","Forb/herb"
"1295","AMCIT","Forb/herb"
"1296","AMCIT2","Forb/herb"
"1297","AMFU","Forb/herb"
"1298","AMGR4","Forb/herb"
"1299","AMHU","Forb/herb"
"1300","AMIL","Forb/herb"
"1301","AMJO","Forb/herb"
"1302","AMKE","Forb/herb"
"1303","AMLO","Forb/herb"
"1304","AMLOL","Forb/herb"
"1305","AMLOS","Forb/herb"
"1306","AMLU2","Forb/herb"
"1307","AMPA5","Forb/herb"
"1308","AMPE","Forb/herb"
"1309","AMRE3","Forb/herb"
"1310","AMRI","Forb/herb"
"1311","AMTA2","Forb/herb"
"1312","AMTAG","Forb/herb"
"1313","AMTAS","Forb/herb"
"1314","AMTAT","Forb/herb"
"1315","AMTH","Forb/herb"
"1316","AMTO2","Forb/herb"
"1317","AMTOS","Forb/herb"
"1318","AMTOT","Forb/herb"
"1327","ANCL2","Forb/herb"
"1329","ANAR","Forb/herb"
"1330","ANARA7","Forb/herb"
"1331","ANARF","Forb/herb"
"1332","ANMI4","Forb/herb"
"1333","ANMO2","Forb/herb"
"1334","ANPU4","Forb/herb"
"1336","ANCO30","Forb/herb"
"1338","ANMA","Forb/herb"
"1340","ANAR16","Forb/herb"
"1341","ANAZ","Forb/herb"
"1342","ANBA3","Forb/herb"
"1343","ANCA29","Forb/herb"
"1344","ANOF","Forb/herb"
"1352","ANFI3","Forb/herb"
"1359","ANEC","Forb/herb"
"1392","ANCH","Forb/herb"
"1393","ANCHA","Forb/herb"
"1394","ANCHC","Forb/herb"
"1395","ANCHL","Forb/herb"
"1396","ANEL2","Forb/herb"
"1397","ANELA","Forb/herb"
"1398","ANFI","Forb/herb"
"1399","ANMA14","Forb/herb"
"1400","ANOC2","Forb/herb"
"1401","ANSE4","Forb/herb"
"1402","ANSEG2","Forb/herb"
"1403","ANSEP2","Forb/herb"
"1404","ANSES3","Forb/herb"
"1405","ANSES4","Forb/herb"
"1406","ANSES5","Forb/herb"
"1408","ANBR4","Forb/herb"
"1409","ANCO9","Forb/herb"
"1411","ANEU","Forb/herb"
"1413","ANAD","Forb/herb"
"1414","ANME","Forb/herb"
"1415","ANWR4","Forb/herb"
"1417","ANBE","Forb/herb"
"1418","ANBL2","Forb/herb"
"1419","ANCA8","Forb/herb"
"1420","ANCA9","Forb/herb"
"1421","ANCY","Forb/herb"
"1422","ANDE3","Forb/herb"
"1423","ANDR","Forb/herb"
"1424","ANDRD","Forb/herb"
"1425","ANDRH","Forb/herb"
"1426","ANED2","Forb/herb"
"1427","ANEDE","Forb/herb"
